update, mean_fitness, min_fitness, max_fitness, inferiority, num_genotypes, total_orgs, ave_depth, num_roots, mrca_depth, diversity, phylogenetic_diversity, mean_pairwise_distance, mean_evolutionary_distinctiveness, min_evolutionary_distinctiveness, max_evolutionary_distinctiveness, phenotypic_richness, phenotypic_entropy, niche_width_mean, niche_width_min, niche_width_max, always_used_mean, always_used_min, always_used_max, sometimes_used_mean, sometimes_used_min, sometimes_used_max, failed_to_reproduce, num_orgs,seed,selection,sel_param
810,-1113.91,-258298.0,0.186462,-5973.89,442,500,515.45,1,350,8.704989999999999,82725,207.767,131.915,123,157,33,1.35059, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
820,-8184.29,-4058290.0,0.186673,-43842.9,461,500,522.66,1,350,8.79005,86330,250.71099999999998,139.069,133,190,47,2.2458, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
830,-70.9184,-2448.48,0.187301,-378.634,459,500,528.286,1,350,8.7865,89143,260.087,142.003,116,200,39,1.9424400000000002, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
840,-19100.4,-4091630.0,0.18484,-103335.0,450,500,530.9259999999999,1,350,8.7505,90463,220.99200000000002,147.094,125,191,35,1.37056, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
850,-1.8200900000000002e+51,-9.100440000000002e+53,0.187979,-9.682420000000001e+51,466,500,538.2,1,350,8.81883,94100,254.768,152.67600000000002,135,186,46,1.97806, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
860,-9436.54,-4091630.0,0.186055,-50719.0,450,500,544.85,1,350,8.74728,97425,208.511,159.227,143,198,35,1.8738, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
870,-68.6707,-2971.48,0.186589,-368.032,455,500,549.362,1,350,8.7665,99681,231.548,162.671,145,180,43,1.71042, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
880,-8250.71,-1363880.0,0.187393,-44029.0,436,500,556.578,1,350,8.62693,103289,290.452,168.952,161,180,40,2.0998900000000003, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
890,-8136.72,-4033290.0,0.185315,-43907.5,448,500,560.39,1,350,8.7345,105195,220.822,173.60299999999998,165,197,32,1.4175799999999998, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
900,-8183.66,-4058290.0,0.184685,-44311.5,462,500,567.472,1,350,8.80054,108736,283.937,177.545,166,190,42,1.7901200000000002, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
910,-8250.54,-4091630.0,0.18348599999999998,-44965.5,450,500,573.54,1,350,8.73679,111770,265.908,181.459,156,203,41,1.6098, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
920,-9283.51,-4091630.0,0.186523,-49771.4,451,500,582.872,1,350,8.74381,116436,205.615,184.813,170,212,39,1.9122400000000002, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
930,-8255.47,-4091630.0,0.184507,-44743.3,438,500,589.4119999999999,1,350,8.67564,119706,241.75,192.37900000000002,179,232,47,2.16413, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
